IYear,NMFS.Name,RegionDollars,StateDollars,DollarsDiff,RegionMetric.Tons,StatesMetric.Tons,Metric.TonsDiff
2018,"VERTEBRATES, JAWED",187.5,NA,NA,0,NA,NA
2019,ALEWIFE,NA,NA,NA,NA,NA,NA
2019,"CLAM, SURF, ATLANTIC",16615844.63,16615580,264.63,6810,7139,-329
2019,"FLOUNDER, WINTER",3584916.2,3584916,0.2,580,581,-1
2019,"FLOUNDER, YELLOWTAIL",925032.56,925032,0.56,411,411,0
2019,"HAKE, SILVER",7123209.06,7123209,0.06,4470,4470,0
2019,"HERRING, ATLANTIC",9098457.05,9098457,0.050000001,11205,11204,1
2019,"MACKEREL, ATLANTIC",1703538.432,1703539,-0.56836,2485,2485,0
2019,"SHARK, DOGFISH, SPINY",1639877.17,NA,NA,3206,NA,NA
2019,"SKATES, RAJIDAE (FAMILY) **",613499.307,613499,0.307,274,275,-1
2019,"SQUID, LONGFIN LOLIGO",28227974.51,NA,NA,8210,NA,NA
2019,"SQUID, SHORTFIN ILLEX",18108685.12,NA,NA,16603,NA,NA
2019,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",NA,NA,NA,NA,NA,NA
2019,"VERTEBRATES, JAWED",NA,NA,NA,NA,NA,NA
2020,ALEWIFE,NA,NA,NA,NA,NA,NA
2020,"CLAM, QUAHOG, OCEAN",7572823.75,7572824,-0.25,4463,4463,0
2020,"CLAM, SURF, ATLANTIC",14045033.41,14045033,0.41,5478,5478,0
2020,"FLOUNDER, AMERICAN PLAICE",2401968.108,2401968,0.108,680,679,1
2020,"FLOUNDER, WINTER",2169732.04,2169732,0.04,484,484,0
2020,"FLOUNDER, YELLOWTAIL",1038547.07,1038548,-0.93,527,527,0
2020,"HAKE, SILVER",7959380.71,7959381,-0.29,4226,4227,-1
2020,"HAKE, WHITE",3863658.548,3863659,-0.452,1905,1905,0
2020,"HERRING, ATLANTIC",6816133.764,6816134,-0.236,9446,9446,0
2020,"MACKEREL, ATLANTIC",3799751.341,3799751,0.3414,5600,5600,0
2020,MENHADENS **,11007049.68,5818911,5188138.675,9132,9132,0
2020,POLLOCK,6490595.748,6490596,-0.252,3524,3524,0
2020,SCUP,3771131.637,NA,NA,2758,NA,NA
2020,"SHARK, DOGFISH, SPINY",1484582.46,NA,NA,3091,NA,NA
2020,"SKATES, RAJIDAE (FAMILY) **",212853.3272,212853,0.3272,196,196,0
2020,"SQUID, LONGFIN LOLIGO",16629019.36,NA,NA,6284,NA,NA
2020,"SQUID, SHORTFIN ILLEX",17928063.24,NA,NA,18552,NA,NA
2020,"VERTEBRATES, JAWED",NA,NA,NA,NA,NA,NA
2021,ALEWIFE,NA,NA,NA,NA,NA,NA
2021,"CLAM, SURF, ATLANTIC",10985003.47,10985003,0.470000001,4247,4247,0
2021,HADDOCK,19920390.44,19920369,21.43805,7307,7306,1
2021,"HAKE, WHITE",5481062.52,5481065,-2.48,1844,1843,1
2021,"HERRING, ATLANTIC",3629327.05,3597647,31680.05,4922,4886,36
2021,"REDFISH, ACADIAN",7096464.01,7096469,-4.99,5646,5646,0
2021,SCUP,4320505.99,NA,NA,2734,NA,NA
2021,"SHARK, DOGFISH, SPINY",897553.61,NA,NA,1762,NA,NA
2021,"SKATES, RAJIDAE (FAMILY) **",265526.89,265539,-12.11,169,170,-1
2021,"SQUID, LONGFIN LOLIGO",24187509.33,NA,NA,7812,NA,NA
2021,"SQUID, SHORTFIN ILLEX",19608774.54,NA,NA,17707,NA,NA
2021,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",NA,NA,NA,NA,NA,NA
2021,"VERTEBRATES, JAWED",NA,NA,NA,NA,NA,NA
2022,ALEWIFE,NA,NA,NA,NA,NA,NA
2022,"CLAM, QUAHOG, OCEAN",26258141,NA,NA,13714,NA,NA
2022,"FLOUNDER, YELLOWTAIL",448416.018,NA,NA,226,NA,NA
2022,HADDOCK,17959638.76,NA,NA,5014,NA,NA
2022,"HAKE, WHITE",5530097.686,NA,NA,1597,NA,NA
2022,"MACKEREL, ATLANTIC",1720001.96,NA,NA,1741,NA,NA
2022,POLLOCK,8644304.664,NA,NA,3296,NA,NA
2022,SCUP,4118561.37,NA,NA,2446,NA,NA
2022,"SHARK, DOGFISH, SPINY",992885.97,NA,NA,1749,NA,NA
2022,"SKATES, RAJIDAE (FAMILY) **",767560.43,NA,NA,564,NA,NA
2022,"SQUID, LONGFIN LOLIGO",45834316.62,NA,NA,13869,NA,NA
2022,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",NA,NA,NA,NA,NA,NA
2022,"VERTEBRATES, JAWED",-2,NA,NA,0,NA,NA
